;Error_Word;Correct_Word;substitution;insertion;deletion;transposition;single/multi
84;Rechtsanwaltin;Rechtsanwältin;1;;;;1
86;Pizzaservce;Pizzaservice;;;1;;1
87;BHeizung;Heizung;;1;;;1
88;Conpyshop;Copyshop;;1;;;1
89;Wohnungsermietung;Wohnungsvermietung;;;1;;1
90;imobilieen;Immobilien;;1;1;;2
91;ienstleistungen;Dienstleistungen;;;1;;1
92;mzüge;Umzüge;;;1;;1
93;stralentherapi;Strahlentherapie;;;1;;1
94;Nürmberger;Nürnberger;1;;;;1
95;Eisenhändeler;Eisenhändler;;1;;;1
96;effezienz;Effizienz;1;;;;1
97;Köinik;Klinik;1;;;;1
98;Umzugsunternehmsen;Umzugsunternehmen;;1;;;1
99;Meeresngeln;meeresangeln;;;1;;1
100;Haussercie;Hausservice;1;;1;;2
101;Architekturbürok;Architekturbüro;;1;;;1
102;Psychtherapie;Psychotherapie;;;1;;1
103;Gartenbservice;Gartenservice;;1;;;1
105;drehspies;Drehspieß;1;;;;1
106;Rechtsanwalth;Rechtsanwalt;;1;;;1
107;Schukter;Schulter;1;;;;1
108;meeresanfekn;meeresangeln;2;;;;2
109;ngelzubehör;Angelzubehör;;;1;;1
110;Chriroug;Chirurg;2;;;;2
111;zhomas;Thomas;1;;;;1
112;Masaage;Massage;1;;;;1
113;einbaukühlschnrank;Einbaukühlschrank;;1;;;1
114;Büroserive;Büroservice;;1;;1;2
115;Büroserivce;Büroservice;;;;1;1
116;HBioresonanz;Bioresonanz;1;;;;1
117;glasrei;Glaserei;;;1;;1
118;ersatzteilse;Ersatzteile;;1;;;1
119;Physikaöische;physikalische;1;;;;1
120;Isolierbauu;Isolierbau;;1;;;1
121;Fototudio;Fotostudio;;;1;;1
122;pflegeimmoblie;Pflegeimmobilie;;;1;;1
123;Aötstadt;Altstadt;1;;;;1
124;Mqler;Maler;1;;;;1
125;sichheheitsdienst;Sicherheitsdienst;;1;1;;2
126;Physiotherappie;Physiotherapie;;1;;;1
127;Neurochirogische;neurochirurgische;1;;1;;2
128;Runaldo;Ronaldo;1;;;;1
129;ppraxis;Praxis;;1;;;1
130;erestaurant;Restaurant;;1;;;1
131;Heozunh;Heizung;2;;;;2
132;Rohreinigung;Rohrreinigung;;;1;;1
133;elwektonikversand;Elektronikversand;;1;1;;2
134;Fusdpflege;Fußpflege;1;1;;;2
136;Plfegezentrum;Pflegezentrum;;;;1;1
137;Gebrauchteile;Gebrauchtteile;;;1;;1
138;Bücherrei;Bücherei;;1;;;1
139;karenbau;Karrenbau;;;1;;1
140;Fusdpflehe;Fußpflege;2;1;;;3
141;trokenbau;Trockenbau;;;1;;1
142;bodenbeleger;Bodenleger;;2;;;2
143;Orthopädd;Orthopäde;1;;;;1
144;transoirt;Transport;2;;;;2
145;Tuningteik;Tuningteil;1;;;;1
146;schchneider;Schneider;;2;;;2
147;fensteereinigung;Fensterreinigung;;1;;;1
148;tischeler;Tischler;;1;;;1
149;Pfleelgeheim;Pflegeheim;;2;;;2
150;karosseriebua;Karosseriebau;;;;1;1
151;Hausmeisterservixe;Hausmeisterservice;1;;;;1
152;ugenarzt;Augenarzt;;;1;;1
154;Rechtsanwalmt;Rechtsanwalt;;1;;;1
156;cDachdecker;Dachdecker;;1;;;1
157;msage;Massage;;;2;;2
159;Horgeräteakkustik;Hörgeräteakustik;;1;;;1
160;Retaurand;Restaurant;1;;1;;2
161;wassr;Wasser;;;1;;1
162;fullzeit;Vollzeit;2;;;;2
163;Kosmetikin;Kosmetikerin;;;2;;2
164;lieferorth;Lieferort;;1;;;1
165;füt;für;1;;;;1
166;Orthdropäde;Orthopäde;;2;;;2
167;Perosn;Person;;;;1;1
168;alianz;Allianz;;;1;;1
169;bestattungsinstituz;Bestattungsinstitut;1;;;;1
170;pforzhrimer;Pforzheimer;1;;;;1
171;Rechtsnawlat;Rechtsanwalt;;;;2;2
172;Abspache;Absprache;;;1;;1
173;vertriebswarenalgage;Vertriebswarenlager;;2;1;;3
174;personalofficwe;Personaloffice;;1;;;1
175;scghmidt;Schmidt;;1;;;1
176;württemberrg;Württemberg;;1;;;1
177;Teinigung;Reinigung;1;;;;1
178;Kosnetik;Kosmetik;1;;;;1
179;Schlosdienst;Schloßdienst;1;;;;1
180;Retaurans;Restaurants;;;1;;1
181;Hezung;Heizung;;;1;;1
182;nachschweisen;nachschweißen;1;;;;1
183;Steuerberung;Steuerberatung;;;2;;2
184;karrosseriewerkstatt;Karosseriewerkstatt;;1;;;1
185;Physiotherapy;Physiotherapie;1;;1;;2
186;orthoopäde;Orthopäde;;1;;;1
187;akkupunktur;Akupunktur;;1;;;1
188;Lixht;Licht;1;;;;1
189;volksvagen;Volkswagen;1;;;;1
190;Grosshanfek;Großhandel;4;;;;4
191;Physiptherapie;Physiotherapie;1;;;;1
192;ziwil;zivil;1;;;;1
193;Immobielimakler;Immobilienmakler;;1;2;;3
194;Gestalther;Gestalter;;1;;;1
195;senoren;Senioren;;;1;;1
196;ommobilie;Immobilie;1;;;;1
197;Huas;Haus;;;;1;1
198;Fahrschulr;Fahrschule;1;;;;1
199;Versicherungf;Versicherung;;1;;;1
200;Gartenbauq;Gartenbau;;1;;;1
201;spezialitt;Spezialität;;;1;;1
202;Repchtsanwalt;Rechtsanwalt;;1;;;1
203;kaufmasnn;Kaufmann;;1;;;1
204;Zuladdung;Zulassung;2;;;;2
205;servise;Service;1;;;;1
206;Imobilienmakler;Immobilienmakler;;;1;;1
207;rechtswalt;Rechtsanwalt;;;2;;2
208;stuerberater;Steuerberater;;;1;;1
210;Tecniker;Techniker;;;1;;1
211;Heilpratkik;Heilpraktiker;;;2;1;3
212;Intecrnationale;internationale;;1;;;1
213;Herrenmide;Herrenmode;1;;;;1
214;versichwerung;Versicherung;;1;;;1
215;Drehteiöe;Drehteile;1;;;;1
216;gartnoase;Gartenoase;;;1;;1
217;karosserieo;Karosserie;;1;;;1
218;Sonderpreisyve;Sonderpreise;;2;;;2
219;Olvien;Oliven;;;;1;1
220;hEIZUNGSREPERATUR;Heizungsreparatur;1;;;;1
221;Kirchengemeine;Kirchengemeinde;;;1;;1
222;Landschftsbau;Landschaftsbau;;;1;;1
223;deutsxchen;deutschen;;1;;;1
224;Rattenbekämfung;Rattenbekämpfung;;;1;;1
225;metzgre;Metzger;;;;1;1
227;Rechtsranwalt;Rechtsanwalt;;1;;;1
228;Spedizion;Spedition;1;;;;1
229;Jalousiebau;Jalousienbau;;;1;;1
230;Gärtnerein;Gärtnereien;;;1;;1
231;hysiotherapie;Physiotherapie;;;1;;1
232;Sanitärinstllateur;Sanitärinstallateur;;;1;;1
233;Reschetaurant;Restaurant;;3;;;3
234;Tecnik;Technik;;;1;;1
235;architektk;Architekt;;1;;;1
237;Sanitärinstallatur;Sanitärinstallateur;;;1;;1
238;ahrzeuge;Fahrzeuge;;;1;;1
239;beschtichten;beschichten;;1;;;1
240;dedektiv;Detektiv;1;;;;1
241;karosseriebao;Karosseriebau;1;;;;1
242;Orthopädeben;Orthopäden;;2;;;2
243;Immobilieb;Immobilien;1;;;;1
244;Vwerein;Verein;;1;;;1
245;kiefernorthopäden;Kieferorthopäden;;1;;;1
246;baustiffe;Baustoffe;1;;;;1
247;steuwerrecht;Steuerrecht;;1;;;1
248;allrsbtenner;Allesbrenner;2;;;;2
249;hüner;Hühner;;;1;;1
250;Taekwono;Taekwondo;;;1;;1
251;suuchen;suchen;;1;;;1
252;haustechnikm;Haustechnik;;1;;;1
253;hyuandai;Hyundai;;1;;;1
254;Teleonnummernrecherche;Telefonnummernrecherche;;;1;;1
255;endokriologen;Endokrinologen;;;1;;1
256;Kaminoen;Kaminofen;;;1;;1
257;Heinricg;Heinrich;1;;;;1
258;Sankoitärinstallateur;Sanitärinstallateur;;2;;;2
259;kontrasze;Kontraste;1;;;;1
260;Kieferorthopädis;Kieferorthopädie;1;;;;1
261;Rechtsanwalr;Rechtsanwalt;1;;;;1
263;Pitzzaria;Pizzeria;1;1;;;2
264;Hausverwaltungb;Hausverwaltung;;1;;;1
265;Hautarztin;Hautärztin;1;;;;1
266;Kurrier;Kurier;;1;;;1
267;vlaudia;Claudia;1;;;;1
268;gartengestatltung;Gartengestaltung;;1;;;1
269;Gebäudemanagemant;Gebäudemanagement;1;;;;1
270;retaurant;Restaurant;;;1;;1
271;schreinet;Schreiner;1;;;;1
272;Transpotz;Transport;2;;;;2
273;Warnrmünde;Warnemünde;1;;;;1
275;fenstrer;Fenster;;1;;;1
276;putcen;putzen;1;;;;1
277;speziwerkstatt;Spezialwerkstatt;;;2;;2
278;Gebedereinigung;Gebäudereinigung;1;;1;;2
279;Umzeugsunternehmen;Umzugsunternehmen;;1;;;1
280;polsterreinugn;Polsterreinigung;;;2;1;3
281;receyclinghof;Recyclinghof;;1;;;1
282;Hausverliwaltung;Hausverwaltung;;2;;;2
283;akupunkitur;Akupunktur;;1;;;1
284;Münzne;Münzen;;;;1;1
285;Frauenarzr;Frauenarzt;1;;;;1
286;Lehmaschinen;Leihmaschinen;;;1;;1
287;trokoenbau;Trockenbau;;1;1;;2
288;Voderfon;Vodafone;1;1;1;;3
289;schreinetei;Schreinerei;1;;;;1
290;polsterir;Polsterei;2;;;;2
291;Haarerlängerung;Haarverlängerung;;;1;;1
292;massivholzbodenhadel;Massivholzbodenhandel;;;1;;1
293;Osthepatie;Osteopathie;;1;2;;3
294;ilpraktiker;Heilpraktiker;;;2;;2
295;schreinere;Schreinerei;;;1;;1
296;neumpnster;Neumünster;1;;;;1
297;Tranport;Transport;;;1;;1
298;transporster;Transporter;;1;;;1
299;nürnberh;Nürnberg;1;;;;1
300;suppenkaspa;Suppenkasper;1;;1;;2
301;oruckerei;Druckerei;1;;;;1
302;Burrger;Burger;;1;;;1
303;Augnzentrum;Augenzentrum;;;1;;1
304;Haarentfeenungh;Haarentfernung;1;1;;;2
305;automatisierungstecnik;Automatisierungstechnik;;;1;;1
306;drrmatologe;Dermatologe;1;;;;1
307;Proviiz;Provinz;1;;;;1
308;Grillsverkauf;Grillverkauf;;1;;;1
309;Raom;Raum;1;;;;1
310;zahnaärztin;Zahnärztin;;1;;;1
311;Fensterrareinigung;Fensterreinigung;;2;;;2
312;ärzteservise;Ärzteservice;1;;;;1
313;Leistenharmie;Leistenhernie;2;;;;2
314;familei;Familie;;;;1;1
315;Heilwopraktiker;Heilpraktiker;;2;;;2
316;Steuerberter;Steuerberater;;1;;;1
317;Badsnierung;Badsanierung;;1;;;1
318;Gastrolomi;Gastronomie;1;;1;;2
319;nachhilfg;Nachhilfe;1;;;;1
320;Pizzerie;Pizzeria;1;;;;1
322;Bensin;Benzin;1;;;;1
323;Provinizial;Provinzial;;1;;;1
324;Klost3rhof;Klosterhof;1;;;;1
325;Heilwpraktiker;Heilpraktiker;;1;;;1
326;gebäudereiningung;Gebäudereinigung;;1;;;1
327;physioterapie;Physiotherapie;;;1;;1
329;Grammatk;Grammatik;;;1;;1
330;Ristorantts;Restaurants;2;1;1;;4
331;badistallation;Badinstallation;;;1;;1
332;phisioteraphie;Physiotherapie;1;1;1;;3
333;sachverständighe;Sachverständige;;1;;;1
334;resiebüro;Reisebüro;;;;1;1
335;Handchirugie;Handchirurgie;;;1;;1
336;gynäkolgie;Gynäkologie;;;1;;1
337;eferservic;Lieferservice;;;3;;3
338;Rechtsanwaltf;Rechtsanwalt;;1;;;1
340;Toranjage;Toranlage;1;;;;1
341;Reifenhändlet;Reifenhändler;1;;;;1
342;Akuunktur;Akupunktur;;;1;;1
343;heizug;Heizung;;;1;;1
344;Fahrzeiugtechnik;Fahrzeugtechnik;;1;;;1
345;Gebäudedienszt;Gebäudedienst;;1;;;1
346;ttrockenbau;Trockenbau;;1;;;1
347;allesd;alles;;1;;;1
348;renigung;Reinigung;;;1;;1
350;schteiberr;Schreiber;1;1;;;2
351;Renovirungsysteme;Renovierungssysteme;;;1;;1
352;Schmucj;Schmuck;1;;;;1
353;Schlusselfienst;Schlüsseldienst;2;;;;2
354;Bootzubehör;Bootszubehör;;;1;;1
356;zugsunternehmen;Umzugsunternehmen;;;2;;2
357;medizhinis;medizinisch;;1;2;;3
358;Heizun;Heizung;;;1;;1
359;physioterapoie;Physiotherapie;;1;;;1
360;haudmeisterservice;Hausmeisterservice;1;;;;1
361;Möbbelhaus;Möbelhaus;;1;;;1
362;ietrecht;Mietrecht;;;1;;1
363;Frauenarzts;Frauenarzt;;1;;;1
364;Frhiseur;Friseur;;1;;;1
365;Uniklinki;Uniklinik;;;;1;1
366;Versicherungsberatr;Versicherungsberater;;;1;;1
367;leipzug;Leipzig;1;;;;1
368;Verscherung;Versicherung;;;1;;1
369;werksat;Werkstatt;;;2;;2
370;rrestaurant;Restaurant;;1;;;1
371;Autoglasfoelierung;Autoglasfolierung;;1;;;1
372;hausservive;Hausservice;1;;;;1
373;grtner;Gärtner;;;1;;1
374;Logistic;Logistik;1;;;;1
375;filesen;Fliesen;;;;1;1
376;ektase;Ekstase;;;1;;1
377;Gheriechisches;griechisches;;2;;;2
378;Saitärinstallateur;Sanitärinstallateur;;;1;;1
379;Psyhologe;Psychologe;;;1;;1
380;schlussel;Schlüssel;1;;;;1
381;mmobilien;Immobilien;;;1;;1
382;Immobilier;Immobilie;;1;;;1
383;itärinstallateur;Sanitärinstallateur;;;3;;3
384;rechtsanwlte;Rechtsanwälte;;;1;;1
385;Kosmetilhandel;Kosmetikhandel;1;;;;1
386;Verkrhr;Verkehr;1;;;;1
387;Personaöldienst;Personaldienst;;1;;;1
388;Imbisss;Imbiss;;1;;;1
389;recbt;Recht;1;;;;1
390;Einzelandel;Einzelhandel;;;1;;1
391;Ausländerecht;Ausländerrecht;;;1;;1
392;Teppichreperatur;Teppichreparatur;1;;;;1
393;Trockrnbau;Trockenbau;1;;;;1
394;Schneiderrei;Schneiderei;;1;;;1
395;schnieder;Schneider;;;;1;1
396;Deutsdfhe;deutsche;1;1;;;2
397;tudio;Studio;;;1;;1
398;Backerei;Bäckerei;1;;;;1
399;fahscule;Fahrschule;;;2;;2
400;Rechtanwalt;Rechtsanwalt;;;1;;1
401;Handler;Händler;1;;;;1
402;maarkt;Markt;;1;;;1
403;Oelheizuge;Ölheizung;1;2;1;;4
404;inginerbüro;Ingenieurbüro;;;2;1;3
405;Augrnbrsun;Augenbrauen;2;;1;;3
406;wohunug;Wohnung;;1;1;;2
407;Heizungb;Heizung;;1;;;1
408;karrosseriebau;Karosseriebau;;1;;;1
409;vertragsrrcht;Vertragsrecht;1;;;;1
410;chirugischer;chirurgischer;;;1;;1
411;Reiingung;Reinigung;;;;1;1
412;gastroenterloge;Gastroenterologe;;;1;;1
413;Immobilienmaklr;Immobilienmakler;;;1;;1
415;zahnaruzt;Zahnarzt;;1;;;1
416;ensorgumf;Entsorgung;2;;1;;3
417;heinzung;Heizung;;1;;;1
418;Rechtsnwalt;Rechtsanwalt;;;1;;1
419;dresddn;Dresden;1;;;;1
420;steuereberater;Steuerberater;;1;;;1
421;Zahnazt;Zahnarzt;;;1;;1
422;Medrdizin;Medizin;;2;;;2
423;fusweg;Fußweg;1;;;;1
424;versicheerung;Versicherung;;1;;;1
425;Gewrbe;Gewerbe;;;1;;1
426;Sonnenbschutz;Sonnenschutz;;1;;;1
427;strassem;Straßen;2;1;;;3
428;haushat;Haushalt;;;1;;1
429;Meschaniche;mechanische;;1;;;1
430;Frseur;Friseur;;;1;;1
431;Autumobile;Automobile;1;;;;1
432;Gewrbeimmobilien;Gewerbeimmobilien;;;1;;1
433;Restaurent;Restaurant;1;;;;1
434;Augenarzte;Augenärzte;1;;;;1
435;Fleiscg;Fleisch;1;;;;1
436;Gewbeimmobilien;Gewerbeimmobilien;;;2;;2
437;Gartezaun;Gartenzaun;;;1;;1
438;chirug;Chirurg;;;1;;1
442;Umzugsuntebrnehmen;Umzugsunternehmen;;1;;;1
443;noatr;Notar;;;;1;1
444;Lasz;Last;1;;;;1
445;gastroenteroge;Gastroenterologe;;;2;;2
446;lungenartz;Lungenarzt;;;;1;1
447;chirugiscer;chirurgischer;;;2;;2
448;Kiblenz;Koblenz;1;;;;1
449;Frisemeur;Friseur;;2;;;2
450;Baysalon;Babysalon;;;1;;1
451;Sportmedizinen;Sportmediziner;1;;;;1
452;industriebdarf;Industriebedarf;;;1;;1
453;ind;und;1;;;;1
454;Architekstt;Architekt;;2;;;2
455;Allgemeinrzt;Allgemeinarzt;;;1;;1
456;Dachedexker;Dachdecker;1;;;;1
457;Urologem;Urologen;1;;;;1
458;interint;Internist;;;1;1;2
459;Immobiline;Immobilien;;;;1;1
461;Elejtriker;Elektriker;1;;;;1
462;Fizoterapi;Physiotherapie;3;;4;;7
463;druckereio;Druckerei;;1;;;1
464;Patnetanwalt;Patentanwalt;;;;1;1
465;Mietrechttr;Mietrecht;;2;;;2
466;Chirugie;Chirurgie;;;1;;1
467;larmanlagen;Alarmanlagen;;;1;;1
468;pflegehilfer;Pflegehelfer;1;;;;1
469;haushaltz;Haushalt;;1;;;1
470;apotheen;Apotheken;;;1;;1
471;Automischanik;Automechanik;1;1;;;2
472;Finazkonzepte;Finanzkonzepte;;;1;;1
473;uni9versal;universal;;1;;;1
474;teuflich;teuflisch;;;1;;1
475;Rechtsabwalt;Rechtsanwalt;1;;;;1
476;Frauenarztin;Frauenärztin;1;;;;1
477;holzfeller;Holzfäller;1;;;;1
478;goankauf;Goldankauf;;;2;;2
479;Brautmpde;Brautmode;1;;;;1
480;Schnmeider;Schneider;;1;;;1
481;messgerete;Messgeräte;1;;;;1
482;Bausachverständider;Bausachverständiger;1;;;;1
483;gartenbaz;Gartenbau;1;;;;1
484;Verpackungeb;Verpackungen;1;;;;1
486;Änderunsegsschneiderei;Änderungsschneiderei;;2;;;2
487;werkstad;Werkstatt;1;;1;;2
488;rheiuma;Rheuma;;1;;;1
489;stationb;Station;;1;;;1
490;gasstallateur;Gasinstallateur;;;2;;2
491;Protologe;Proktologe;;;1;;1
492;haushaltzsauflösung;Haushaltsauflösung;;1;;;1
493;Steuerberatee;Steuerberater;1;;;;1
494;Weinhändelr;Weinhändler;;;;1;1
495;Imobielen;Immobilien;;1;2;;3
496;geinigung;Reinigung;1;;;;1
497;Engeneerin;Engineering;1;;1;;2
498;Glasreinigugn;Glasreinigung;;;;1;1
499;immbis;Imbiss;;1;1;;2
500;Metalbau;Metallbau;;;1;;1
501;HEILPRAKTIG;Heilpraktiker;1;;2;;3
502;immobiliie;Immobilie;;1;;;1
503;Motorad;Motorrad;;;1;;1
504;heismngel;Heißmangel;1;;1;;2
505;Webrbeagentur;Werbeagentur;;1;;;1
506;hauverwaltung;Hausverwaltung;;;1;;1
507;Allgemeinmedezin;Allgemeinmedizin;1;;;;1
508;Seniorenresidden9z;Seniorenresidenz;;2;;;2
509;Saniktätshaus;Sanitätshaus;;1;;;1
510;lakierwerkstat;Lackierwerkstatt;;;2;;2
511;Krank3ngynastik;Krankengymnastik;1;;1;;2
512;klemponer;Klempner;;1;;;1
513;Hauverwaltungen;Hausverwaltungen;;;1;;1
514;Detekteo;Detektei;1;;;;1
515;Versicherungagentur;Versicherungsagentur;;;1;;1
516;friedruxhd;Friedrich;1;2;;;3
517;wassertechnuk;Wassertechnik;1;;;;1
518;Bestatterj;Bestatter;;1;;;1
519;rbrecht;Erbrecht;;;1;;1
520;wassertechnk;Wassertechnik;;;1;;1
521;heizungsinstalateur;Heizungsinstallateur;;;1;;1
522;Krank3ngynast;Krankengymnast;;1;1;;2
523;controler;Controller;;;1;;1
524;Archtektur;Architektur;;;1;;1
525;welness;Wellness;;;1;;1
526;Autowerkstadt;Autowerkstatt;1;;;;1
527;Metzgerf;Metzger;;1;;;1
528;Bauunternhmen;Bauunternehmen;;;1;;1
529;Bauunzeenehmen;Bauunternehmen;2;;;;2
530;Abfallentsotgungsverband;Abfallentsorgungsverband;1;;;;1
531;Abfallentsotgung;Abfallentsorgung;1;;;;1
532;Wohungen;Wohnungen;;;1;;1
533;Eventmanufraktur;Eventmanufaktur;;1;;;1
534;Schreinrr;Schreiner;1;;;;1
535;Schmuckherstellungm;Schmuckherstellung;;1;;;1
536;kinderarztin;Kinderärztin;1;;;;1
537;haushaly;Haushalt;1;;;;1
538;Küchenmpnteur;Küchenmonteur;1;;;;1
539;Hausmeisteservice;Hausmeisterservice;;;1;;1
541;Verischerungsnakkler;Versicherungsmakler;1;1;;1;3
542;sonnenschuztz;Sonnenschutz;;1;;;1
543;Montagerbeiter;Montagearbeiter;;;1;;1
544;fliesenleher;Fliesenleger;1;;;;1
545;kinstler;Künstler;1;;;;1
546;PlasterVersiegelung;Pflasterversiegelung;;;1;;1
547;nd;und;;;1;;1
548;folientecvhnik;Folientechnik;;1;;;1
549;Verscherungsmakler;Versicherungsmakler;;;1;;1
550;zahnarzrt;Zahnarzt;;1;;;1
551;monteir;Monteur;1;;;;1
552;internit;Internist;;;1;;1
553;Zutrittfskontrollsystem;Zutrittskontrollsystem;;1;;;1
554;zanarzt;Zahnarzt;;;1;;1
555;weihnachtsbäumje;Weihnachtsbäume;;1;;;1
556;praezesion;Präzision;2;1;;;3
557;Stefsn;Stefan;1;;;;1
558;Alternetive;Alternative;1;;;;1
559;Werkstadt;Werkstatt;1;;;;1
560;großlameeln;Großlamellen;;;1;1;2
561;kosmetikverpackungne;Kosmetikverpackungen;;;;1;1
562;Ergothetapie;Ergotherapie;1;;;;1
563;Rechtsanwatrlt;Rechtsanwalt;;2;;;2
564;psychiatr;Psychiater;;;1;;1
565;reprstursturwerkstatt;Reparaturwerkstatt;1;3;1;;5
566;reperssturwerkstatt;Reparaturwerkstatt;2;1;;;3
567;Autoreperatur;Autoreparatur;1;;;;1
568;werkstattteichnik;Werkstatttechnik;;1;;;1
569;Fensterreinigger;Fensterreiniger;;1;;;1
570;reparasturwerkstatt;Reparaturwerkstatt;;1;;;1
571;Instandsetztung;Instandsetzung;;1;;;1
572;Bestattungn;Bestattungen;;;1;;1
573;reparstursturwerkstatt;Reparaturwerkstatt;1;4;;;5
574;hasuverwaltung;Hausverwaltung;;;;1;1
575;Gastroenteroligen;Gastroenterologen;1;;;;1
576;Umzugunternehmen;Umzugsunternehmen;;;1;;1
577;heilpraktikwer;Heilpraktiker;;1;;;1
578;fischgrosshanel;Fischgroßhandel;1;1;1;;3
579;Fernsehtechnicker;Fernsehtechniker;;1;;;1
580;zhum;zum;;1;;;1
581;düsselsorf;Düsseldorf;1;;;;1
582;mKinderarzt;Kinderarzt;;1;;;1
583;raumaustatter;Raumausstatter;;;1;;1
584;Contatiner;Container;;1;;;1
585;beswtattung;Bestattung;;1;;;1
586;göotechnik;Geotechnik;1;;;;1
587;getränkenarkt;Getränkemarkt;1;;;;1
588;Angelikw;Angelika;1;;;;1
589;Osteopatie;Osteopathie;;;1;;1
590;Abschleppdiensz;Abschleppdienst;1;;;;1
591;Baufberatung;Bauberatung;;1;;;1
592;Schumachwr;Schumacher;1;;;;1
593;Versicherunh;Versicherung;1;;;;1
595;Rechtsafnwalt;Rechtsanwalt;;1;;;1
596;feinscreeming;Feinscreening;1;;;;1
597;Husarzt;Hausarzt;;;1;;1
598;webvdesign;Webdesign;;1;;;1
599;pfussbodenverlegung;Fußbodenverlegung;1;2;;;3
600;Liehferservice;Lieferservice;;1;;;1
601;Sugenarzt;Augenarzt;1;;;;1
602;Merceded;Mercedes;1;;;;1
603;Augenarbzt;Augenarzt;;1;;;1
604;Rechtsanwalvt;Rechtsanwalt;;1;;;1
605;raqelett;Raclette;1;;1;;2
606;Psyotherapie;Psychotherapie;;;2;;2
607;sexualdilikt;Sexualdelikt;1;;;;1
608;familuen;Familien;1;;;;1
609;Psychootherapie;Psychotherapie;;1;;;1
610;Psysiotherapie;Physiotherapie;1;;;;1
611;Medizingutachet;Medizingutachter;1;;;;1
612;rainigung;Reinigung;1;;;;1
613;Pizaria;Pizzeria;1;;1;;2
614;Erfrut;Erfurt;;;;1;1
615;Uaunbau;Zaunbau;1;;;;1
616;Kurierdinst;Kurierdienst;;;1;;1
617;Resturant;Restaurant;;;1;;1
